pollutant,country,month_day,value_numeric_mean,value_datetime_begin,day
O3,Andorra,520.0,86.575,2023-05-20 22:00:00,
O3,Andorra,520.0,86.575,2023-05-20 21:00:00,
SO2,Andorra,520.0,0.3166666666666666,2023-05-20 18:00:00,
O3,Andorra,520.0,86.575,2023-05-20 20:00:00,
O3,Andorra,520.0,86.575,2023-05-20 18:00:00,
O3,Andorra,520.0,86.575,2023-05-20 17:00:00,
O3,Sweden,520.0,71.50030422535211,2023-05-20 22:00:00,
O3,Sweden,520.0,71.50030422535211,2023-05-20 21:00:00,
O3,Sweden,520.0,71.50030422535211,2023-05-20 19:00:00,
O3,Sweden,520.0,71.50030422535211,2023-05-20 18:00:00,
O3,Sweden,520.0,71.50030422535211,2023-05-20 17:00:00,
CO,Sweden,520.0,0.155188815,2023-05-20 22:00:00,
O3,Andorra,520.0,86.575,2023-05-20 19:00:00,
SO2,Andorra,520.0,0.3166666666666666,2023-05-20 17:00:00,
PM10,Andorra,520.0,13.35,2023-05-20 22:00:00,
PM10,Andorra,520.0,13.35,2023-05-20 21:00:00,
SO2,Austria,520.0,2.3468204729281767,2023-05-20 17:00:00,
SO2,Austria,520.0,2.3468204729281767,2023-05-20 20:00:00,
SO2,Austria,520.0,2.3468204729281767,2023-05-20 21:00:00,
CO,Andorra,520.0,0.15,2023-05-20 19:00:00,
CO,Andorra,520.0,0.15,2023-05-20 20:00:00,
CO,Andorra,520.0,0.15,2023-05-20 22:00:00,
O3,Denmark,520.0,80.15124999999999,2023-05-20 22:00:00,
O3,Denmark,520.0,80.15124999999999,2023-05-20 21:00:00,
O3,Denmark,520.0,80.15124999999999,2023-05-20 20:00:00,
O3,Denmark,520.0,80.15124999999999,2023-05-20 19:00:00,
O3,Denmark,520.0,80.15124999999999,2023-05-20 18:00:00,
O3,Denmark,520.0,80.15124999999999,2023-05-20 17:00:00,
PM10,Andorra,520.0,13.35,2023-05-20 17:00:00,
PM10,Andorra,520.0,13.35,2023-05-20 18:00:00,
PM10,Andorra,520.0,13.35,2023-05-20 19:00:00,
PM10,Denmark,520.0,14.594444444444443,2023-05-20 17:00:00,
PM10,Denmark,520.0,14.594444444444443,2023-05-20 18:00:00,
PM10,Denmark,520.0,14.594444444444443,2023-05-20 19:00:00,
PM10,Andorra,520.0,13.35,2023-05-20 20:00:00,
CO,Sweden,520.0,0.155188815,2023-05-20 21:00:00,
CO,Sweden,520.0,0.155188815,2023-05-20 20:00:00,
O3,Sweden,520.0,71.50030422535211,2023-05-20 20:00:00,
PM10,Sweden,520.0,16.13076003589091,2023-05-20 21:00:00,
PM10,Sweden,520.0,16.13076003589091,2023-05-20 22:00:00,
PM10,Sweden,520.0,16.13076003589091,2023-05-20 20:00:00,
PM10,Sweden,520.0,16.13076003589091,2023-05-20 19:00:00,
PM10,Sweden,520.0,16.13076003589091,2023-05-20 18:00:00,
PM10,Sweden,520.0,16.13076003589091,2023-05-20 17:00:00,
SO2,Andorra,520.0,0.3166666666666666,2023-05-20 22:00:00,
SO2,Andorra,520.0,0.3166666666666666,2023-05-20 21:00:00,
CO,Sweden,520.0,0.155188815,2023-05-20 19:00:00,
CO,Sweden,520.0,0.155188815,2023-05-20 18:00:00,
CO,Sweden,520.0,0.155188815,2023-05-20 17:00:00,
SO2,Andorra,520.0,0.3166666666666666,2023-05-20 20:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 21:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 22:00:00,
SO2,Estonia,521.0,0.7659143652777778,2023-05-21 19:00:00,
O3,Denmark,521.0,80.58494318181819,2023-05-21 13:00:00,
